ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Cluster
GO:0003824,5,45.45454545454545,catalytic activity,MF,GO:0016462,pyrophosphatase activity,298,3,2.12,0.049,Molecular_Function,"pdam_00000330,pdam_00000555,pdam_00000968,pdam_00001459,pdam_00002224,pdam_00003595,pdam_00003988,pdam_00004810,pdam_00005508,pdam_00006144,pdam_00007170,pdam_00009942,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00012551,pdam_00014319,pdam_00014504,pdam_00015146,pdam_00015149,pdam_00015181,pdam_00015392,pdam_00016414,pdam_00018065,pdam_00019450,pdam_00020694,pdam_00020926,pdam_00020983,pdam_00021028,pdam_00021589,pdam_00023832,pdam_00024862,pdam_00024863,pdam_00025545",Cluster_3
GO:0016491,1,9.090909090909092,oxidoreductase activity,MF,GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",5,1,0.04,0.035,Molecular_Function,pdam_00020215,Cluster_3
GO:0016740,2,18.181818181818183,transferase activity,MF,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,26,2,0.18,0.014,Molecular_Function,"pdam_00008622,pdam_00019824,pdam_00020529,pdam_00022448",Cluster_3
GO:0016740,2,18.181818181818183,transferase activity,MF,GO:0008168,methyltransferase activity,102,3,0.72,0.036,Molecular_Function,"pdam_00000586,pdam_00004554,pdam_00005719,pdam_00010826,pdam_00014187,pdam_00017188,pdam_00021666",Cluster_3
GO:0016787,2,18.181818181818183,hydrolase activity,MF,GO:0016790,thiolester hydrolase activity,7,1,0.05,0.049,Molecular_Function,pdam_00015712,Cluster_3
GO:0016787,2,18.181818181818183,hydrolase activity,MF,GO:0016462,pyrophosphatase activity,298,3,2.12,0.049,Molecular_Function,"pdam_00000330,pdam_00000555,pdam_00000968,pdam_00001459,pdam_00002224,pdam_00003595,pdam_00003988,pdam_00004810,pdam_00005508,pdam_00006144,pdam_00007170,pdam_00009942,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00012551,pdam_00014319,pdam_00014504,pdam_00015146,pdam_00015149,pdam_00015181,pdam_00015392,pdam_00016414,pdam_00018065,pdam_00019450,pdam_00020694,pdam_00020926,pdam_00020983,pdam_00021028,pdam_00021589,pdam_00023832,pdam_00024862,pdam_00024863,pdam_00025545",Cluster_3
GO:0140098,1,9.090909090909092,"catalytic activity, acting on RNA",MF,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,26,2,0.18,0.014,Molecular_Function,"pdam_00008622,pdam_00019824,pdam_00020529,pdam_00022448",Cluster_3
GO:0005783,1,50,endoplasmic reticulum,CC,GO:0005789,endoplasmic reticulum membrane,40,3,0.26,0.0019,Cellular_Component,"pdam_00004509,pdam_00006697,pdam_00008675,pdam_00009105,pdam_00010542,pdam_00011166",Cluster_3
GO:0043226,1,50,organelle,CC,GO:0005789,endoplasmic reticulum membrane,40,3,0.26,0.0019,Cellular_Component,"pdam_00004509,pdam_00006697,pdam_00008675,pdam_00009105,pdam_00010542,pdam_00011166",Cluster_3
NA,NA,NA,NA,BP,GO:0044092,negative regulation of molecular function,6,2,0.04,6.6e-4,Biological_Process,"pdam_00001390,pdam_00020885",Cluster_3
NA,NA,NA,NA,BP,GO:0051641,cellular localization,184,2,1.25,0.00682,Biological_Process,"pdam_00002224,pdam_00002624,pdam_00003082,pdam_00003809,pdam_00009291,pdam_00010155,pdam_00012180,pdam_00013177,pdam_00013327,pdam_00013922,pdam_00015455,pdam_00015836,pdam_00017581,pdam_00019561,pdam_00020885,pdam_00021033,pdam_00021088,pdam_00022873,pdam_00024953",Cluster_3
NA,NA,NA,NA,BP,GO:0015919,peroxisomal membrane transport,5,1,0.03,0.03348,Biological_Process,"pdam_00002224,pdam_00021033",Cluster_3
NA,NA,NA,NA,BP,GO:0006401,RNA catabolic process,22,2,0.15,0.03926,Biological_Process,"pdam_00001322,pdam_00008561,pdam_00010525,pdam_00018250",Cluster_3
NA,NA,NA,NA,BP,GO:0006576,biogenic amine metabolic process,7,1,0.05,0.04656,Biological_Process,pdam_00011451,Cluster_3
GO:0006091,1,14.285714285714286,generation of precursor metabolites and energy,BP,GO:0042773,ATP synthesis coupled electron transport,6,1,0.03,0.026,Biological_Process,pdam_00011365,Cluster_4
GO:0006520,1,14.285714285714286,amino acid metabolic process,BP,GO:0009086,methionine biosynthetic process,8,1,0.03,0.0345,Biological_Process,pdam_00021257,Cluster_4
GO:0006629,1,14.285714285714286,lipid metabolic process,BP,GO:0046854,phosphatidylinositol phosphate biosynthetic process,9,1,0.04,0.0387,Biological_Process,"pdam_00015192,pdam_00017670",Cluster_4
GO:0006790,1,14.285714285714286,sulfur compound metabolic process,BP,GO:0009086,methionine biosynthetic process,8,1,0.03,0.0345,Biological_Process,pdam_00021257,Cluster_4
GO:0007010,1,14.285714285714286,cytoskeleton organization,BP,GO:0007099,centriole replication,7,1,0.03,0.0302,Biological_Process,pdam_00012554,Cluster_4
GO:0030163,1,14.285714285714286,protein catabolic process,BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,5,1,0.02,0.0217,Biological_Process,pdam_00023261,Cluster_4
GO:0050877,1,14.285714285714286,nervous system process,BP,GO:0007601,visual perception,5,1,0.02,0.0217,Biological_Process,pdam_00018734,Cluster_4
GO:0003723,1,6.666666666666667,RNA binding,MF,GO:0003729,mRNA binding,9,1,0.04,0.042,Molecular_Function,pdam_00015009,Cluster_4
