"genes","cluster","intersection_group"
"pdam_00019448",21,"Wounded 4h"
"pdam_00007016",21,"Wounded 4h"
"pdam_00007012",21,"Wounded 4h"
"pdam_00020962",21,"Wounded 4h"
"pdam_00009485",22,"Wounded 4h"
"pdam_00009451",21,"Wounded 4h"
"pdam_00002400",21,"Wounded 4h"
"pdam_00002431",22,"Wounded 4h"
"pdam_00018106",21,"Wounded 4h"
"pdam_00012451",21,"Wounded 4h"
"pdam_00012452",21,"Wounded 4h"
"pdam_00009230",22,"Wounded 4h"
"pdam_00004509",22,"Wounded 4h"
"pdam_00004554",22,"Wounded 4h"
"pdam_00025269",22,"Wounded 4h"
"pdam_00001156",22,"Wounded 4h"
"pdam_00001159",21,"Wounded 4h"
"pdam_00022718",21,"Wounded 4h"
"pdam_00002699",21,"Wounded 4h"
"pdam_00002738",22,"Wounded 4h"
"pdam_00002786",15,"Wounded 4h"
"pdam_00010273",21,"Wounded 4h"
"pdam_00017611",22,"Wounded 4h"
"pdam_00013674",22,"Wounded 4h"
"pdam_00021666",22,"Wounded 4h"
"pdam_00007971",21,"Wounded 4h"
"pdam_00018404",22,"Wounded 4h"
"pdam_00001657",21,"Wounded 4h"
"pdam_00001678",21,"Wounded 4h"
"pdam_00001687",22,"Wounded 4h"
"pdam_00024941",22,"Wounded 4h"
"pdam_00018033",21,"Wounded 4h"
"pdam_00004654",21,"Wounded 4h"
"pdam_00004637",22,"Wounded 4h"
"pdam_00009789",22,"Wounded 4h"
"pdam_00015066",21,"Wounded 4h"
"pdam_00024639",22,"Wounded 4h"
"pdam_00001191",21,"Wounded 4h"
"pdam_00001322",22,"Wounded 4h"
"pdam_00009093",22,"Wounded 4h"
"pdam_00014186",21,"Wounded 4h"
"pdam_00023979",22,"Wounded 4h"
"pdam_00015712",22,"Wounded 4h"
"pdam_00015691",22,"Wounded 4h"
"pdam_00005839",21,"Wounded 4h"
"pdam_00005850",21,"Wounded 4h"
"pdam_00020423",21,"Wounded 4h"
"pdam_00023798",22,"Wounded 4h"
"pdam_00023803",21,"Wounded 4h"
"pdam_00016177",22,"Wounded 4h"
"pdam_00021519",22,"Wounded 4h"
"pdam_00020697",21,"Wounded 4h"
"pdam_00008510",21,"Wounded 4h"
"pdam_00008513",21,"Wounded 4h"
"pdam_00022908",22,"Wounded 4h"
"pdam_00011237",21,"Wounded 4h"
"pdam_00023828",15,"Wounded 4h"
"pdam_00012551",22,"Wounded 4h"
"pdam_00018508",22,"Wounded 4h"
"pdam_00019180",22,"Wounded 4h"
"pdam_00006144",22,"Wounded 4h"
"pdam_00022159",22,"Wounded 4h"
"pdam_00022158",22,"Wounded 4h"
"pdam_00019081",21,"Wounded 4h"
"pdam_00023068",21,"Wounded 4h"
"pdam_00014540",22,"Wounded 4h"
"pdam_00014535",22,"Wounded 4h"
"pdam_00016844",21,"Wounded 4h"
"pdam_00002022",21,"Wounded 4h"
"pdam_00023840",22,"Wounded 4h"
"pdam_00014459",15,"Wounded 4h"
"pdam_00017747",22,"Wounded 4h"
"pdam_00009723",21,"Wounded 4h"
"pdam_00009414",21,"Wounded 4h"
"pdam_00026011",22,"Wounded 4h"
"pdam_00009936",21,"Wounded 4h"
"pdam_00009938",21,"Wounded 4h"
"pdam_00001777",22,"Wounded 4h"
"pdam_00001867",22,"Wounded 4h"
"pdam_00006844",22,"Wounded 4h"
"pdam_00002841",22,"Wounded 4h"
