"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Function","group"
"pdam_00007318",207.552688641588,-0.583260283459443,0.156769115391133,-3.72050503700446,0.000198824776216728,0.0386634839682365,"zgc:56409: Uncharacterized protein C7orf26 homolog (Danio rerio)","Wounded_4 vs Control_4"
"pdam_00007409",372.567906208868,0.76139233538552,0.194523205166209,3.91414656536711,9.07245185191092e-05,0.0260616146677298,"unknown function","Wounded_4 vs Control_4"
"pdam_00007444",567.356979319785,-0.406906836964401,0.109651280239745,-3.71091733789818,0.000206509535827267,0.0390710224615166,"Dennd5b: DENN domain-containing protein 5B (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00007559",355.762054406567,-1.2325806321948,0.289692748433623,-4.25478593737467,2.0924910389377e-05,0.0133849676790715,"G-protein coupled receptor GRL101 (Lymnaea stagnalis)","Wounded_4 vs Control_4"
"pdam_00007782",131.955844089089,-0.672646880594682,0.180905568298065,-3.71822098635687,0.000200630725868259,0.0386634839682365,"unknown function","Wounded_4 vs Control_4"
"pdam_00007934",74.2433369765858,-1.98334477373351,0.559838886442863,-3.54270634241826,0.000396043450731182,0.0495992040428687,"NPR1: Atrial natriuretic peptide receptor 1 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00007957",12859.9465746653,0.373216351381621,0.10510759185084,3.55080298967612,0.000384057786576474,0.0495992040428687,"Rpl12: 60S ribosomal protein L12 (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00008222",365.886946450742,-0.619864631881057,0.173336536066001,-3.57607603076269,0.0003487902494849,0.0495992040428687,"unknown function","Wounded_4 vs Control_4"
"pdam_00008229",66.1695317729988,1.2008828142253,0.331671903627937,3.62069503352454,0.000293812673485426,0.0449546563485481,"unknown function","Wounded_4 vs Control_4"
"pdam_00008674",578.801871661403,1.11929522943666,0.314542708993211,3.55848410226804,0.000373001363138225,0.0495992040428687,"unknown function","Wounded_4 vs Control_4"
"pdam_00008739",80.202342748222,-1.39384573571339,0.343559051388814,-4.05707761177843,4.96905730677849e-05,0.0196989300812749,"asic1a: Acid-sensing ion channel 1A (Danio rerio)","Wounded_4 vs Control_4"
"pdam_00008903",328.324393650733,-0.695140606263677,0.195202913368485,-3.56111798880511,0.000369279084252297,0.0495992040428687,"VKORC1L1: Vitamin K epoxide reductase complex subunit 1-like protein 1 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00009107",564.108764902273,-0.517341159875367,0.140789232318905,-3.67457902393788,0.000238241900710325,0.0426707126965572,"slc38a7: Putative sodium-coupled neutral amino acid transporter 7 (Danio rerio)","Wounded_4 vs Control_4"
"pdam_00009262",335.521132421096,1.15695848263458,0.318738326289136,3.6298066068938,0.000283633644943104,0.0448752368474544,"Adam26a: Disintegrin and metalloproteinase domain-containing protein 26A (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00009428",839.783856962846,0.816842571407378,0.166224832293396,4.91408269232366,8.91990982966457e-07,0.00199701914569807,"AIF1: Allograft inflammatory factor 1 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00010782",1115.89473269838,0.728868627299086,0.188997688265702,3.85649493381319,0.000115024480843373,0.0291045111315615,"Rhamnose-binding lectin (Silurus asotus)","Wounded_4 vs Control_4"
"pdam_00010825",412.66566818176,-0.677863835486895,0.154347591709157,-4.39180053268481,1.12415810218033e-05,0.00943800986661772,"Dctn5: Dynactin subunit 5 (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00011277",4535.98765632571,0.69334188227011,0.14347151231703,4.83261011940844,1.34754529485831e-06,0.00223502952217319,"RPL7: 60S ribosomal protein L7 (Pongo abelii)","Wounded_4 vs Control_4"
"pdam_00011819",243.849828428329,-0.743574784949009,0.197930000622778,-3.75675634117811,0.000172129943501581,0.0374121591109547,"RINT1: RAD50-interacting protein 1 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00012303",75.6529353555029,-1.2426693886543,0.277445174035637,-4.47897280236955,7.50030882611188e-06,0.00743932021778973,"unknown function","Wounded_4 vs Control_4"
"pdam_00012400",950.7233968271,0.591136592893069,0.143303833583748,4.12505777486828,3.70641703736688e-05,0.0177815357367676,"PAP9: Probable inactive purple acid phosphatase 9 (Arabidopsis thaliana)","Wounded_4 vs Control_4"
"pdam_00012672",631.212700941524,-0.666379811017191,0.170803805574589,-3.90143421439276,9.56244498412784e-05,0.0262147598922019,"Arl5b: ADP-ribosylation factor-like protein 5B (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00012802",210.235384062688,1.22397933681649,0.317724340092075,3.85233103784805,0.000116998704764708,0.0291045111315615,"Hephaestin-like protein (Acropora millepora)","Wounded_4 vs Control_4"
"pdam_00013327",850.524499701886,-0.535435596348891,0.137558155922785,-3.89243075233901,9.92448321362261e-05,0.0266631166017185,"chmp1b: Charged multivesicular body protein 1b (Danio rerio)","Wounded_4 vs Control_4"
"pdam_00013382",9917.29646127002,0.40042248767321,0.110415930541056,3.62649198997892,0.000287297727155593,0.0448752368474544,"RpL36: 60S ribosomal protein L36 (Ixodes scapularis)","Wounded_4 vs Control_4"
"pdam_00013889",45.793399723949,-1.77953713972211,0.465438451341247,-3.82335652457172,0.000131647209278023,0.0315788743255657,"unknown function","Wounded_4 vs Control_4"
"pdam_00014319",217.440802801674,-0.937603576498462,0.256449345206068,-3.65609658993302,0.000256084896752782,0.04343860947833,"ABCB4: Phosphatidylcholine translocator ABCB4 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00014651",119.340569609282,1.22515237078095,0.321760729363277,3.80765040284863,0.000140293414227511,0.0330624812862834,"unknown function","Wounded_4 vs Control_4"
"pdam_00014761",909.925519776855,1.45342333356776,0.364092440815506,3.99190746809336,6.55439492114271e-05,0.0209631397561214,"unknown function","Wounded_4 vs Control_4"
"pdam_00014764",1731.87105027609,0.892346192197337,0.217317118805465,4.10619373707109,4.02232157870496e-05,0.0186316709540496,"PF11_0240: Dynein heavy chain-like protein PF11_0240 (Plasmodium falciparum (isolate 3D7))","Wounded_4 vs Control_4"
